leiloeiro,site,total_coletados,ativos,com_foto,com_data
ANDRESSA SEDREZ TERRES TONIAL FERREIRA,https://www.tonialleiloes.com.br,0,0,0,0
ANGELICA MIEKO INOUE DANTAS,https://www.lancetotal.com.br,0,0,0,0
ANTONIO MAGNO JACOB DA ROCHA,https://www.rochaleiloes.com.br,0,0,0,0
AYRTON DE SOUZA PORTO FILHO,https://www.emleilao.com.br,0,0,0,0
BRENNO DE FIGUEIREDO PORTO,https://www.gestaodeleiloes.com.br,0,0,0,0
CARLA SOBREIRA UMINO,https://www.lancenoleilao.com.br,0,0,0,0
CATIELE BORGES LEFFA,https://www.leffaleiloes.com.br,0,0,0,0
CRISTIANE DE ALMEIDA RABELO GOIS,https://www.argleiloes.com.br,0,0,0,0
DANIEL ELIAS GARCIA,https://www.danielgarcialeiloes.com.br,0,0,0,0
DEONIZIA KIRATCH,https://www.deonizialeiloes.com.br,0,0,0,0
FLARES AGUIAR DA SILVA,https://www.faleiloes.com.br,0,0,0,0
FLAVIO DUARTE CERULI,https://www.leiloesceruli.com.br,0,0,0,0
FERNANDO CAETANO MOREIRA FILHO,https://www.mgl.com.br,0,0,0,0
GIOVANO AVILA ALVES,https://www.soleiloes.com.br,0,0,0,0
LUCIANO RESENDE RODRIGUES,https://www.lancecertoleiloes.com.br,0,0,0,0
LUCIO UBIALLI,https://www.leiloescentrooeste.com.br,0,0,0,0
MOACIRA TEGONI GOEDERT,https://www.moacira.lel.br,0,0,0,0
PAULO ROBERTO NAKAKOGUE,https://www.nakakogueleiloes.com.br,0,0,0,0
PAULO SETSUO NAKAKOGUE,https://www.psnleiloes.com.br,0,0,0,0
PERICLES LUCIANO SANTOS DE JESUS,https://www.centraldosleiloes.com.br,0,0,0,0
RICARDO LUCAS GRANADO DA SILVA,https://www.granadoleiloes.com.br,0,0,0,0
RODRIGO SCHMITZ,https://www.hammer.lel.br,0,0,0,0
SANDRO DE OLIVEIRA,https://www.norteleiloes.com.br,0,0,0,0
SIMONE WENNING,https://www.maxterleiloes.com.br,0,0,0,0
SPENCER DAVILA FOGAGNOLI,https://www.spencerleiloes.com.br,0,0,0,0
TIAGO BRUNELLI DE MORAES,https://www.moraesleiloes.com.br,0,0,0,0
VALERIO CESAR DE AZEVEDO DEDA,https://www.lancese.com.br,0,0,0,0
VIRIATO DOMINGUES CRAVO,https://www.cravoleiloes.com.br,0,0,0,0
WERNO KLOCKNER JUNIOR,https://www.kleiloes.com.br,0,0,0,0
WESLEY SILVA RAMOS,https://www.wrleiloes.com.br,0,0,0,0
JORGE FERLIN DALE NOGARI DOS SANTOS,https://www.nogarileiloes.com.br,0,0,0,0
JOSE IVAN DE SOUZA RABELO,https://www.realizaleiloes.com.br,0,0,0,0
JOSE LUIZ PEREIRA VIZEU,https://www.flexleiloes.com.br,0,0,0,0
JOAO ANTONIO CARGNELUTTI,https://www.cargneluttileiloes.com.br,0,0,0,0
LILIAMAR FATIMA P PESTANA MARQUES GOMES,https://www.pestanaleiloes.com.br,0,0,0,0
