id_leiloeiro,leiloeiro_nome,site,total
250,Mercado Leilões,https://www.leeilon.com.br,1
210,Roberta Zago Leilões,https://www.leeilon.com.br,1
316,Joel Reis Leilões,https://www.joelreisleiloes.com.br,1
339,Moacira Goedert,https://www.moacira.lel.br,1
227,Rafael Coutinho Leiloeiro,https://www.leeilon.com.br,1
423,SF Leilões,https://sfleiloes.com.br,1
402,King Leilões,https://www.kingleiloes.net,1
100,Franklin Leilões,https://www.franklinleiloes.com.br,1
114,Turst Bid,https://www.trustbid.com.br,1
91,GF Leilões,https://www.gfleiloes.com.br,1
79,PW Leilões,https://www.pwleiloes.com.br,1
441,Pimentel Leilões,https://www.pimentelleiloes.com.br,1
343,,,1
421,Sodré Santoro,https://www.leeilon.com.br,1
537,WSP Leilões,https://www.wspleiloes.com.br,1
794,SFrazão,https://www.sfrazao.com.br,1
544,Alexandre Pedrosa Leiloeiro,https://www.alexandrepedrosaleiloeiro.com.br,1
434,RJ Leilões,https://www.rjleiloes.com.br,1
