leiloeiro,titulo,preco,data_leilao,url
Daniel Elias Garcia,"Leilão Regional do Tribunal Regional do Trabalho da 4ª Região - Rio Grande do Sul 
 
 
   
 Leilão",Não informado,09/06/2026,https://www.danielgarcialeiloes.com.br
Daniel Elias Garcia,"Leilão:  09/06/2026 (terça-feira)
                       
 Pregão do primeiro lote a partir",Não informado,09/06/2026,https://www.danielgarcialeiloes.com.br
Daniel Elias Garcia,"Leilão:  09/06/2026 (terça-feira)
                       
 Pregão do primeiro lote a partir da",Não informado,09/06/2026,https://www.danielgarcialeiloes.com.br
Felipe Cezar Sousa e Silva,"Cadastre-se Clique aqui 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Clique aqui SUSPENSÃO LEILÃO DO LE","950.000,00",09/06/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"Lotes em Destaque 
 
 
 
 
 
 Lance Inicial:   R$950.000,00 
 Cuiabá/MT 
 
 
 
 
 
 
 
 
 Lance","950.000,00",09/06/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"12 (doze) BOIS, ACIMA DE 36 MESES, COSTA MARQUES/RO 
 
 
 
 
 12 (DOZE) BOIS, SEM RA","5.375,00",09/06/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"APARTAMENTO EM CUIABÁ 
 
 
 
 
 Envie sua proposta até:  30/07/2026 às 10:00 
 APARTAM",Não informado,30/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"APARTAMENTO EM CUIABÁ 
 
 
 
 
 Envie sua proposta até:  30/07/2026 às 10:00 
 APARTAMEN",Não informado,30/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"APARTAMENTO EM CUIABÁ 
 
 
 
 
 Envie sua proposta até:  30/07/2026 às 10:00 
 APARTAMENTO",Não informado,30/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"Envie sua proposta até:  30/07/2026 às 10:00 
 APARTAMENTO NO 1001 DO CONDOMÍNIO GARDEN VILLE, L",Não informado,30/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"IMÓVEL RESIDENCIAL , CENTRO, AO LADO DA FACULDADE UNIP, EM JI-PARANÁ/RO. 
 
 
 
 
 Env",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"IMÓVEL RESIDENCIAL , CENTRO, AO LADO DA FACULDADE UNIP, EM JI-PARANÁ/RO. 
 
 
 
 
 Envie",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"IMÓVEL RESIDENCIAL , CENTRO, AO LADO DA FACULDADE UNIP, EM JI-PARANÁ/RO. 
 
 
 
 
 Envie s",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"Envie sua proposta até:  31/07/2026 às 10:00 
 IMÓVEL COM ÁREA DE 400,00 M², MATRÍCULA Nº 23.654",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"GRANDE ÁREA URBANA EM OURO PRETO D'OESTE,  C/ 75.133,00 m2, DOCUMENTADA. 
 
 
 
 
 Env",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"GRANDE ÁREA URBANA EM OURO PRETO D'OESTE,  C/ 75.133,00 m2, DOCUMENTADA. 
 
 
 
 
 Envie",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"GRANDE ÁREA URBANA EM OURO PRETO D'OESTE,  C/ 75.133,00 m2, DOCUMENTADA. 
 
 
 
 
 Envie s",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"Envie sua proposta até:  31/07/2026 às 10:00 
 IMÓVEL LOCALIZADO NA RUA OLINDA, S/N, BAIRRO DO I",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"IMÓVEL COMERCIAL NA LAURO SODRÉ, 1438, EM PORTO VELHO/RO. 
 
 
 
 
 Envie sua proposta",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"IMÓVEL COMERCIAL NA LAURO SODRÉ, 1438, EM PORTO VELHO/RO. 
 
 
 
 
 Envie sua proposta a",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"IMÓVEL COMERCIAL NA LAURO SODRÉ, 1438, EM PORTO VELHO/RO. 
 
 
 
 
 Envie sua proposta até",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Felipe Cezar Sousa e Silva,"Envie sua proposta até:  31/07/2026 às 10:20 
 IMÓVEL COM POTENCIAL PARA 06 LOCAÇÕES, SENDO 05 S",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
