dominio,online,http_status,url_final,tempo_ms,bloqueia_bot,motivo_bloqueio,tem_sitemap,sitemaps,tem_jsonld,tipos_jsonld,tem_opengraph,plataforma,favicon_hash,cluster,servidor,titulo,ssl_ok,erro
www.jacleiloes.com.br,SIM,200,https://www.jacleiloes.com.br/,732,não,,SIM,https://www.jacleiloes.com.br/sitemap.xml,não,,SIM,,846351dd0fc9f3a689fd3a30db65a38d,asset:cdn.onesignal.com,cloudflare,JAC Leilões | Site do leiloeiro oficial de Cascavel/PR - Jefferson Adriano Costa,NÃO,
www.jorgemolgado.com.br,SIM,200,https://www.jorgemolgado.com.br/,849,não,,não,,não,,não,,,—,LiteSpeed,JORGE MOLGADO - LEILÕES JUDICIAIS E EXTRAJUDICIAIS,NÃO,
www.ktzleiloes.com.br,SIM,200,https://www.ktzleiloes.com.br/,279,não,,SIM,https://www.ktzleiloes.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,KTZ Leilões,NÃO,
www.joaoemilio.com.br,SIM,200,https://www.joaoemilio.com.br/,1051,não,,SIM,https://www.joaoemilio.com.br/sitemap.xml,não,,SIM,,a108e028ad96f6ac0a69e5d18a22f0af,asset:d8ed0d6197eff01b.cdn.gocache.net,cloudflare,João Emilio Leiloeiro,NÃO,
www.ipcleiloes.com.br,SIM,200,https://www.ipcleiloes.com.br/externo/,764,não,,não,,não,,SIM,,,—,cloudflare,!IPC Leilões,NÃO,
www.jvleiloes.lel.br,SIM,200,https://www.jvleiloes.lel.br/,682,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,Juliana Vettorazzo - Leiloeira oficial,NÃO,
www.lanceja.com.br,SIM,200,https://www.lanceja.com.br/,319,não,,não,,não,,não,,5620419bb32fe83e821d2b6ebfadac86,asset:cdn.cookie-script.com,cloudflare,Lance Já Leilões - Desde 2008,NÃO,
www.isaiasleiloes.com.br,SIM,200,https://www.isaiasleiloes.com.br/,2007,não,,SIM,https://www.isaiasleiloes.com.br/sitemap.xml,não,,SIM,,4c0d0a5e4ecdab893466ad49a3454e19,favicon:4c0d0a5e4e,cloudflare,Isaias Jr. - Leiloeiro Oficial - JUCEMG 831,NÃO,
www.lancenoleilao.com.br,SIM,200,https://www.lancenoleilao.com.br/,212,não,,não,,não,,não,,,—,cloudflare,Lance no Leilão :: Gestão de Leilões,NÃO,
www.kleiberleiloes.com.br,SIM,200,https://www.kleiberleiloes.com.br/,1040,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,Kleiber Leilões,NÃO,
www.lancejudicial.com.br,SIM,200,https://www.grupolance.com.br/,578,não,,SIM,https://www.grupolance.com.br/sitemap.xml,SIM,"ContactPoint, Organization, SearchAction, WebSite",SIM,,4d8b58a93df6763bc52c4f82e6535c75,asset:app.mailjet.com,cloudflare,"Leilões Judiciais, Extrajudicias e Trabalhistas Online em todo Brasil | Grupo Lance",NÃO,
www.leilaooficialonline.com.br,SIM,200,https://www.leilaooficialonline.com.br/,271,não,,SIM,https://www.leilaooficialonline.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,leilaooficialonline.com.br Leilões | Leilões judiciais e extrajudiciais,NÃO,
www.kleiloes.com.br,SIM,200,https://www.kleiloes.com.br/,1122,não,,não,,não,,SIM,,,asset:static.kleiloes.com.br,cloudflare,Klöckner Leilões,NÃO,
www.lanceleiloes.com.br,SIM,200,https://www.lanceleiloes.com.br/,1111,não,,SIM,https://www.lanceleiloes.com.br/sitemap.xml,não,,SIM,,d3e1f0d77835ab70f85d6e1f6fa1fa24,asset:216476ee79457113.cdn.gocache.net,cloudflare,"Leilões Judiciais e Extrajudiciais, Online e Presenciais",NÃO,
www.legisleiloes.com.br,SIM,200,https://www.legisleiloes.com.br/,326,não,,SIM,https://www.legisleiloes.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,Legis Leilões | Leilões judiciais e extrajudiciais,NÃO,
www.kronbergleiloes.com.br,SIM,200,https://kronbergleiloes.com.br/,1189,não,,SIM,https://kronbergleiloes.com.br/wp-sitemap.xml | https://kronbergleiloes.com.br/sitemap.xml,não,,não,"WordPress 7.0, WordPress",ab7dd7e5adcb50b9dbe6352d7b8b32b7,WordPress 7.0,Apache,Kronberg – Leilões,NÃO,
www.destakleiloes.com.br,SIM,200,https://www.destakleiloes.com.br/,247,não,,SIM,https://www.destakleiloes.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,Destak Leilões,NÃO,
www.leilaoinvestment.com.br,SIM,200,https://www.leilaoinvestment.com.br/,1352,não,,SIM,https://www.leilaoinvestment.com.br/sitemap.xml,não,,SIM,,c5a32c3198126d27363f8006cc332870,asset:4502febf2d36f01a.cdn.gocache.net,cloudflare,Leilão Investment  | Leilão online de imóveis em São Paulo,NÃO,
www.lecapeleiloes.com.br,SIM,200,https://www.lecapeleiloes.com.br/,2148,não,,SIM,https://www.lecapeleiloes.com.br/sitemap.xml,não,,SIM,,35a17b746ef8b68dc217e6fa132a6c11,asset:69cad032bfc27954.cdn.gocache.net,cloudflare,"Leilões Judiciais e Extrajudiciais, Online e Presenciais",NÃO,
www.leilaovip.com.br,SIM,200,https://www.leilaovip.com.br/,379,não,,SIM,https://www.vipleiloes.com.br/sitemap.xml | https://www.leilaovip.com.br/sitemap.xml,não,,não,,1ef07a54c3ffdccd736f99a6e4f90678,asset:armazupleilaovipprd.blob.core.windows.net,Microsoft-IIS/10.0,Leilão VIP - Destaques,NÃO,
www.leiloesonlinems.com.br,SIM,200,https://www.leiloesonlinems.com.br/,804,não,,não,,não,,não,,cf36aae3c7ad35fc015b74dd0dff3e70,favicon:cf36aae3c7,cloudflare,Leilões OnLine MS Judiciais e Extrajudiciais,NÃO,
www.leiloesceruli.com.br,SIM,200,https://www.leiloesceruli.com.br/,2061,não,,SIM,https://www.leiloesceruli.com.br/sitemap.xml,não,,SIM,,1f956d051672eb1a4a5ec917cc5d36f6,asset:0e8a67d4d8f872db.cdn.gocache.net,cloudflare,Flávio Ceruli - Leiloeiro Oficial - JUCEMG 496,NÃO,
www.leje.com.br,SIM,200,https://www.leje.com.br/,256,não,,não,,não,,não,,575f1df47d68bc5e78997d099ae0547c,asset:leje.blob.core.windows.net,cloudflare,Leilão Judicial Eletrônico,NÃO,
www.leilaobrasil.com.br,SIM,200,https://www.leilaobrasil.com.br/,1293,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,Leilão Brasil,NÃO,
www.lut.com.br,SIM,200,https://www.portalzuk.com.br,415,não,,SIM,https://www.portalzuk.com.br/sitemap.xml | https://www.portalzuk.com.br/sitemap-index.xml,SIM,"ImageObject, Organization, WebPage, WebSite",SIM,,d43151dc8f70a5688a3040e5ee4f2098,asset:cdn.portalzuk.com.br,cloudflare,Leilão de Imóveis Online - Judiciais e Extrajudiciais Zuk,NÃO,
www.leiloesgold.com.br,SIM,200,https://www.leiloesgold.com.br/,1799,não,,SIM,https://www.leiloesgold.com.br/sitemap.xml,não,,SIM,,cf29c06249a21e496c0d0fb97f887a38,favicon:cf29c06249,cloudflare,Gold Leilões,NÃO,
www.arremateleilao.com.br,NÃO,,,,,,,,,,,,,,,,SIM,ConnectionError
www.leiloesuberlandia.com.br,SIM,200,https://www.leiloesuberlandia.com.br/externo/,371,não,,não,,não,,SIM,,,asset:sawpf.com,cloudflare,UBERLÂNDIA LEILÕES,NÃO,
