leiloeiro,url,titulo,cidade,estado,preco,avaliacao,desconto_pct,duplicado
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11413/lote/242287/02-dois-sofas-ilha-breda-02-lugares-sem-braco-02-lugares-com-braco-01-puff-tecido-boucle-prata-14,"02 (dois) sofás, ilha Breda, 02 lugares sem braço, 02 lugares com braço, 01 puff, tecido bouclê prata 14",São José,SC,9547.2,18720.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11414/lote/242288/02-terrenos-no-lt-34-e-35-com-areas-de-192-86m2-cada-no-cond-residencial-quinta-das-palmeiras-em-florianopolis-sc,"02 Terrenos no LT 34 e 35, com áreas de 192,86m² cada, no Cond. Residencial QUinta das Palmeiras, em Florianópolis/SC",Florianópolis,SC,445135.24,741892.08,60.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11349/lote/242172/imovel-com-area-de-366-80m2-com-edificacao-de-alto-padrao-em-jaragua-do-sul-sc,"Imóvel com área de 366,80m², com Edificação de alto padrão, em Jaraguá do Sul/SC",Florianópolis,SC,1230201.24,1640268.32,75.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11431/lote/242316/automovel-fiat-palio-edx-ano-modelo-1997-placa-cnw8f93,"Automóvel Fiat/Palio EDX, ano/modelo 1997, placa CNW8F93",Tubarão,SC,3060.0,6000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11402/lote/242268/camioneta-imp-kia-besta-3v-rs-modelo-2001-placa-mbu2a29-2,"Camioneta IMP/Kia Besta 3V RS, modelo 2001, placa MBU2A29",São José,SC,14691.57,28807.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11401/lote/242267/02-bovinos-femeas-raca-jersey-e-girolando-e-01-bovino-macho-raca-holandes,"02 Bovinos fêmeas, raça Jersey e Girolando e 01 Bovino macho, raça Holandês",Curitibanos,SC,5100.0,10000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11433/lote/242318/automovel-fiat-palio-fire-flex-modelo-2007-placa-mgm5i12-2,"Automóvel Fiat/Palio Fire Flex, modelo 2007, placa MGM5I12",Imbituba,SC,15011.2,18764.0,80.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11347/lote/242170/terreno-com-area-de-21-389-00m2-situado-em-armacao-da-piedade-praia-do-tingua-em-governador-celso-ramos-sc-3,"Terreno com área de 21.389,00m², situado em Armação da Piedade (Praia do Tinguá), em Governador Celso Ramos/SC",Florianópolis,SC,10651922.92,17753204.88,60.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11390/lote/242233/apartamento-no-103-bloco-02-com-vaga-de-garagem-no-residencial-ametista-em-joinville-sc,"Apartamento nº 103, bloco 02, com vaga de garagem, no Residencial Ametista, em Joinville/SC",Joinville,SC,99605.81,195305.52,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11383/lote/242209/automovel-vw-fox-1-0-gii-ano-modelo-2011-placa-mip2114,"Automóvel VW/Fox 1.0 GII, ano/modelo 2011, placa MIP2114",Guaramirim,SC,14116.8,27680.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11392/lote/242236/penhora-dos-direitos-sobre-terreno-no-lt-17-qd-c-com-area-total-de-1-005-00m2-no-lot-industrial-4a-linha-em-criciuma-sc,"Penhora dos direitos sobre Terreno no LT 17 QD C, com área total de 1.005,00m², no Lot. Industrial 4ª Linha, em Criciúma/SC",Criciúma,SC,222488.41,436251.8,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11392/lote/242237/penhora-dos-direitos-sobre-terreno-no-lt-18-qd-c-com-area-de-1-005-00m2-no-lot-industrial-4a-linha-em-criciuma-sc,"Penhora dos direitos sobre Terreno no LT 18 QD C, com área total de 1.005,00m², no Lot. Industrial 4ª Linha, em Criciúma/SC",Criciúma,SC,222488.41,436251.8,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11392/lote/242238/162-cento-e-sessenta-e-duas-barricas-plasticas-azuis-capacidade-variada,"162 (cento e sessenta e duas) Barricas plásticas (azuis), capacidade variada",Criciúma,SC,8262.0,16200.0,51.0,False
